Mound,Burial,Estimated,Estimated,Grave,Placement,Material accomp.,Other
stage,no.,sex,age,preparation,,,treatment/
6,13,Male,Young,Log tomb,Extended,1-carapace spoon;,–
"",,,adult,(8),,11-copper pen-,
"",,,,,,dants,
6,14,Male?,Young,Clay pit,Extended,–,–
"",,,adult,,,,
6,17,?,Adult,–,Disturbed,–,Skull
"",,,,,,,fragments
6,18,Male,Young,Log tomb,Extended,2-copper bracelets,–
"",,,adult,(14),,,
Mound,Burial,Estimated,Estimated,Grave,Placement,Material accomp.,Other
stage,no.,sex,age,preparation,,,treatment/
"",,,,(tomb no.),,,info.
6,24,Female,Young,Log tomb,Extended,–,–
"",,,adult,(19),,,
6,32,Male,Mature,Log tomb,Extended,–,–
"",,,adult,(22),,,
6,42,Male,Young,Log tomb,Disturbed,–,–
"",,,adult,(6),,,
6,44,?,?,Log tomb,Disturbed,–,–
"",,,,(6),,,
6,45,Female,Infant,Log tomb,Extended,–,–
"",,,,(31),,,
6,47,Male,Mature,Log tomb,Extended,3-copper bracelets;,–
"",,,adult,(16),,12-disk shell,
"",,,,,,beads; textiles,
6,48,Male,Young,Log tomb,Extended,–,–
"",,,adult,(21),,,
6,49,Male,Young,Log tomb,Extended,–,–
"",,,adult,(21),,,
6,53,Male?,Adult,Log tomb,Extended,–,–
"",,,,(37),,,
6,55,Female?,Child,Log tomb,Extended,–,Red ochre on
"",,,,(42),,,tomb
"",,,,,,,floor
6,56,?,?,Log tomb,Extended,–,–
"",,,,(10),,,
6,57,Female?,Young,Log tomb,Extended,–,–
"",,,adult,(10),,,
7,8,Male?,Adult,Poss. partial,Extended,–,–
"",,,,crema-,,,
"",,,,tion,,,
7,10,Male,Young,–,Disturbed,–,Skull
"",,,adult,,,,fragments
7,11,?,?,–,Fragmentary,–,Fragmented
7,16,Male?,Adult,Log tomb,Extended,–,–
"",,,,(13),,,
7,19,Male,Adult,Clay pit,Extended,–,–
7,20,Male,Mature,Log tomb,Extended,–,–
"",,,adult,(18),,,
7,21,Male?,Young,Log tomb,Extended,2-copper bracelets,–
"",,,adult,(17),,,
7,22,Male,Mature,Log tomb,Extended,–,–
"",,,adult,(17),,,
7,23,Male?,Young,Log tomb,Fragmentary,–,Skull only
"",,,adult,(17),,,
7,33,Female,Young,Clay pit,Extended,–,–
"",,,adult,,,,
7,41,Male,Young,Log tomb,Extended,–,–
"",,,adult,(2),,,
Mound,Burial,Estimated,Estimated,Grave,Placement,Material accomp.,Other
stage,no.,sex,age,preparation,,,treatment/
"",,,,(tomb no.),,,info.
7,43,Female,Young,Log tomb,Extended,–,–
"",,,adult,(7),,,
8,35,Male,Young,–,Disturbed,–,Skull only
"",,,adult,,,,
